#{"t_start": 1686247872.458438, "env_id": "SpaceInvadersNoFrameskip-v4"}
r,l,t
170.0,2180,6.405988
210.0,2108,54.292159
45.0,2148,59.394253
315.0,5254,71.276397
315.0,5254,82.935394
315.0,5254,94.828166
315.0,5254,106.834473
130.0,2276,112.315306
135.0,2288,157.915901
105.0,1968,162.411215
60.0,1154,165.260028
60.0,1154,167.998028
60.0,1154,170.643162
60.0,1154,173.205157
120.0,1902,177.684968
150.0,2400,224.237297
30.0,1618,227.890834
50.0,1026,230.182267
50.0,1026,232.474703
50.0,1026,234.695593
50.0,1026,237.024573
50.0,1504,281.844543
120.0,2376,287.39675
145.0,1804,291.607271
165.0,2520,297.314675
165.0,2520,302.925768
165.0,2520,308.539726
165.0,2520,314.064231
105.0,1952,360.453131
440.0,3200,410.085197
155.0,2148,414.914722
155.0,2148,419.766609
155.0,2148,424.636632
155.0,2148,429.439127
195.0,2482,435.354412
105.0,2000,481.841799
105.0,1864,486.044942
500.0,3928,494.867949
500.0,3928,503.944935
500.0,3928,512.921563
500.0,3928,521.728579
225.0,2384,527.396971
135.0,2198,574.232871
145.0,2444,579.787527
380.0,2606,585.661293
380.0,2606,591.495181
380.0,2606,597.411716
380.0,2606,603.601589
210.0,2412,651.543566
180.0,2150,656.665393
110.0,2202,661.565488
180.0,2440,667.039821
180.0,2440,672.592716
180.0,2440,677.982034
180.0,2440,683.435467
155.0,2386,731.242905
105.0,1918,735.77855
365.0,3822,744.497841
110.0,1900,748.724642
110.0,1900,752.915301
110.0,1900,757.113176
110.0,1900,761.297484
105.0,1962,808.665428
80.0,1298,811.603409
105.0,1894,858.56279
115.0,2148,863.338998
115.0,2148,868.198452
115.0,2148,873.051077
115.0,2148,877.882306
185.0,2368,883.531696
135.0,2124,930.850987
105.0,1924,935.222011
210.0,2354,940.507958
210.0,2354,945.772273
210.0,2354,951.03981
210.0,2354,956.343364
225.0,2460,1004.589279
210.0,2418,1010.23474
270.0,3134,1017.333704
105.0,1880,1021.457358
105.0,1880,1025.577801
105.0,1880,1029.713167
105.0,1880,1033.906104
210.0,2476,1082.055502
110.0,1952,1086.67636
440.0,3304,1094.126523
145.0,1976,1098.733803
145.0,1976,1103.292805
145.0,1976,1107.810471
145.0,1976,1112.191585
120.0,1840,1158.186975
55.0,1934,1162.665661
160.0,2702,1210.979237
165.0,2394,1216.368864
165.0,2394,1221.731369
165.0,2394,1227.092981
165.0,2394,1232.604035
105.0,1798,1236.928854
75.0,1638,1240.870391
140.0,1972,1287.425742
110.0,1814,1291.423395
110.0,1814,1295.501328
110.0,1814,1299.592401
110.0,1814,1303.977409
105.0,1824,1308.663115
160.0,2284,1355.627054
210.0,2598,1361.523371
155.0,2840,1367.892372
155.0,2840,1374.249143
155.0,2840,1380.733158
155.0,2840,1387.051079
225.0,2556,1434.684298
105.0,1844,1438.978871
300.0,3544,1447.084063
180.0,2486,1452.861821
180.0,2486,1458.424215
180.0,2486,1464.011389
180.0,2486,1469.609545
125.0,2066,1515.78964
215.0,2912,1522.455491
75.0,1632,1526.1098
75.0,1632,1529.73031
75.0,1632,1533.524822
75.0,1632,1537.221503
75.0,1632,1540.851117
135.0,1926,1587.135166
365.0,3824,1642.197175
105.0,1752,1646.777215
105.0,1752,1650.776195
105.0,1752,1654.79179
105.0,1752,1658.755926
125.0,2128,1663.83108
285.0,2358,1710.496829
135.0,2338,1716.006683
50.0,1220,1718.805394
50.0,1220,1721.555444
50.0,1220,1724.375471
50.0,1220,1727.189662
210.0,2392,1733.044602
210.0,2432,1780.499696
195.0,2754,1787.024117
75.0,1256,1789.964619
75.0,1256,1792.989249
75.0,1256,1795.91014
75.0,1256,1798.860399
110.0,2678,1848.887227
120.0,2370,1854.507778
110.0,1958,1859.11649
110.0,1958,1863.832524
110.0,1958,1868.458435
110.0,1958,1873.067459
115.0,1858,1920.094246
75.0,1808,1924.541658
75.0,1236,1970.320136
105.0,1940,1975.562464
75.0,1194,1978.842862
75.0,1194,1982.414057
75.0,1194,1985.676431
75.0,1194,1988.778764
595.0,4398,2043.767756
155.0,1884,2048.231822
550.0,3210,2055.77682
550.0,3210,2063.398195
550.0,3210,2070.950043
550.0,3210,2078.506773
360.0,2408,2084.434181
520.0,2850,2133.805391
240.0,2902,2140.64824
240.0,2902,2147.291624
240.0,2902,2153.99778
240.0,2902,2160.88933
155.0,1794,2165.627521
185.0,2382,2215.762349
135.0,1996,2220.692976
155.0,2384,2226.227961
155.0,2384,2231.831433
155.0,2384,2237.504767
155.0,2384,2243.096501
120.0,1972,2290.601174
260.0,2898,2297.67517
125.0,2080,2302.54881
50.0,1034,2305.020288
